FileIndex,FilePath,Joint,ManualBrace,Remark
3,D:\desk\横向\WC9-7&191D检测策略1103\WC9-7检测策略1103\model\WC9-7fatigue\4-3.ftg with WJ1\ftginp.WC9-7 DPP wj1,201L,,jslc_joint_not_in_conrst_conscf
3,D:\desk\横向\WC9-7&191D检测策略1103\WC9-7检测策略1103\model\WC9-7fatigue\4-3.ftg with WJ1\ftginp.WC9-7 DPP wj1,308L,,jslc_joint_not_in_conrst_conscf
3,D:\desk\横向\WC9-7&191D检测策略1103\WC9-7检测策略1103\model\WC9-7fatigue\4-3.ftg with WJ1\ftginp.WC9-7 DPP wj1,523L,,jslc_joint_not_in_conrst_conscf
3,D:\desk\横向\WC9-7&191D检测策略1103\WC9-7检测策略1103\model\WC9-7fatigue\4-3.ftg with WJ1\ftginp.WC9-7 DPP wj1,527L,,jslc_joint_not_in_conrst_conscf
3,D:\desk\横向\WC9-7&191D检测策略1103\WC9-7检测策略1103\model\WC9-7fatigue\4-3.ftg with WJ1\ftginp.WC9-7 DPP wj1,573W,,jslc_joint_not_in_conrst_conscf
